genus	n	present_n	absent_n	prevalence	eligible_locked_prevalence	odds_ratio	ci_lower	ci_upper	p_value	separation_diagnostic	bh_q_value	contamination_risk_category
Candida	62	22	40	0.3548387096774194	True	0.45030072071243776	0.23619665964573108	0.8584826702387519	0.015371737390899467	PASS	0.037087642511222464	LOW_CURRENT_CONCERN
Ramlibacter	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Caulobacter	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		HIGH_RISK_POTENTIAL_CONTAMINANT
Bacteroides	62	40	22	0.6451612903225806	True	1.3693336841154506	0.7899322609200318	2.3737158630150117	0.2627700608946797	PASS	0.2919667343274219	LOW_CURRENT_CONCERN
Enterococcus	62	17	45	0.27419354838709675	True	1.8459640478024912	1.0344996759480523	3.2939432896936656	0.03800502998387513	PASS	0.06204902854510225	LOW_CURRENT_CONCERN
Laribacter	62	13	49	0.20967741935483872	True	2.826479502982385	1.4120509853015153	5.657718073879366	0.0033409675703026365	PASS	0.011136558567675455	LOW_CURRENT_CONCERN
Variovorax	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Pseudomonas	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Methylobacterium	62	52	10	0.8387096774193549	True	2.0322662479422475	0.8634859700112838	4.783061040900629	0.10439873788772523	PASS	0.13049842235965653	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Elizabethkingia	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		HIGH_RISK_POTENTIAL_CONTAMINANT
Tessaracoccus	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Agrobacterium	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Azospirillum	62	32	30	0.5161290322580645	True	1.9531952205138057	1.1110483569550937	3.4336683417571243	0.020026834884220374	PASS	0.04330126461453054	LOW_CURRENT_CONCERN
Clostridium	62	14	48	0.22580645161290322	True	1.3235393589029514	0.7333038552418331	2.3888548001531116	0.352163058240175	PASS	0.37564059545618667	LOW_CURRENT_CONCERN
Ensifer	62	23	39	0.3709677419354839	True	2.8862883411201965	1.5376312930530376	5.417853048207329	0.0009699129606001713	PASS	0.007053912440728518	LOW_CURRENT_CONCERN
Roseomonas	62	16	46	0.25806451612903225	True	1.8901959484333382	1.0472773742875723	3.411551525119399	0.0345724510321338	PASS	0.05872396639945751	LOW_CURRENT_CONCERN
Croceicoccus	62	52	10	0.8387096774193549	True	2.2210869645045923	0.9122943339396196	5.407495279060597	0.07878118397243294	PASS	0.108663702030942	LOW_CURRENT_CONCERN
Rhodobacter	62	30	32	0.4838709677419355	True	1.8385769943463734	1.0623779955323036	3.1818857114468133	0.029537944607136293	PASS	0.05446032829965152	LOW_CURRENT_CONCERN
Micrococcus	62	33	29	0.532258064516129	True	1.2878397900495122	0.7706711953546254	2.1520608721746712	0.33422766940191184	PASS	0.361327210164229	LOW_CURRENT_CONCERN
Bradyrhizobium	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Aquabacterium	62	58	4	0.9354838709677419	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Prevotella	62	18	44	0.2903225806451613	True	1.7692772288969518	1.003489343368281	3.119457055902625	0.048605146915073325	PASS	0.07277696820088081	LOW_CURRENT_CONCERN
Sulfuritalea	62	17	45	0.27419354838709675	True	2.6031348101871403	1.384600059443524	4.894056441635185	0.0029751107260323315	PASS	0.010692441174706527	LOW_CURRENT_CONCERN
Escherichia	62	16	46	0.25806451612903225	True	1.343479150828391	0.7621052435980161	2.368355609507675	0.3073581517638585	PASS	0.3368308512480641	LOW_CURRENT_CONCERN
Moraxella	62	52	10	0.8387096774193549	True	2.081598656530729	0.876596173019766	4.943043444900861	0.09661147131537812	PASS	0.1267035689382008	LOW_CURRENT_CONCERN
Shinella	62	59	3	0.9516129032258065	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Cutibacterium	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Chryseobacterium	62	24	38	0.3870967741935484	True	3.4312590942924994	1.7492422249215387	6.73065102387011	0.0003348554752375564	PASS	0.0047178053452895255	LOW_CURRENT_CONCERN
Aminobacter	62	21	41	0.3387096774193548	True	1.9981340401594772	1.1345429590593028	3.51907313034177	0.016523896298086756	PASS	0.0377689058241983	LOW_CURRENT_CONCERN
Sphingopyxis	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		MODERATE_RISK_ENVIRONMENTAL
Thiomonas	62	42	20	0.6774193548387096	True	1.4480584899046873	0.8156099338375243	2.570926742295854	0.20619977010774448	PASS	0.23565688012313654	LOW_CURRENT_CONCERN
Flavobacterium	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Verminephrobacter	62	13	49	0.20967741935483872	True	2.6917900724112287	1.358863742325306	5.332200402619213	0.0045216853409240495	PASS	0.013912877972073998	LOW_CURRENT_CONCERN
Citrobacter	62	32	30	0.5161290322580645	True	0.8988316809592519	0.5433988753590783	1.4867502075012111	0.6778466990884819	PASS	0.7042563107412799	LOW_CURRENT_CONCERN
Sphingobium	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Methylorubrum	62	38	24	0.6129032258064516	True	3.4360837629308403	1.6041150769801318	7.360239795329346	0.0014936062613449374	PASS	0.008233807362831384	LOW_CURRENT_CONCERN
Ralstonia	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		HIGH_RISK_POTENTIAL_CONTAMINANT
Erythrobacter	62	62	0	1.0	False					not_run_locked_prevalence_requirement_failed		LOW_CURRENT_CONCERN
Xanthobacter	62	36	26	0.5806451612903226	True	1.5841629469913026	0.9171296002896708	2.7363332748474507	0.09898721040781831	PASS	0.1277254327842817	LOW_CURRENT_CONCERN
Paucibacter	62	16	46	0.25806451612903225	True	3.683333464417911	1.793256495147804	7.565535352477633	0.00038472910717253576	PASS	0.0047178053452895255	LOW_CURRENT_CONCERN
Streptomyces	62	27	35	0.43548387096774194	True	3.7038146627978867	1.831549368929113	7.489966303434962	0.0002680728043735845	PASS	0.0047178053452895255	LOW_CURRENT_CONCERN
Collimonas	62	23	39	0.3709677419354839	True	2.2234521707479904	1.248335364907244	3.9602655621082152	0.006664916513597766	PASS	0.01904261861027933	LOW_CURRENT_CONCERN
Bacillus	62	21	41	0.3387096774193548	True	2.6991180848841565	1.4544288031458743	5.009003136070341	0.001646761472566277	PASS	0.008233807362831384	LOW_CURRENT_CONCERN
Polaromonas	62	43	19	0.6935483870967742	True	2.1099187709432647	1.0838673089769193	4.107289871285835	0.02802253217729437	PASS	0.05446032829965152	LOW_CURRENT_CONCERN
Ochrobactrum	62	16	46	0.25806451612903225	True	3.4108406032702256	1.6940534121854316	6.867453846043995	0.0005897256681611907	PASS	0.0047178053452895255	LOW_CURRENT_CONCERN
Fusarium	62	17	45	0.27419354838709675	True	0.6088229691509224	0.3237927865758783	1.1447611655761285	0.12347785018397366	PASS	0.14743623902564018	LOW_CURRENT_CONCERN
