genus	evidence_category	primary_q_value	reasons
Rhodobacter	METHOD_SENSITIVE	0.46490964152279574	primary_q=0.46491; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Micrococcus	METHOD_SENSITIVE	0.9329795717732935	primary_q=0.93298; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.778; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Bradyrhizobium	METHOD_SENSITIVE	0.40671977322531716	primary_q=0.40672; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Aquabacterium	METHOD_SENSITIVE	0.17741796844354815	primary_q=0.177418; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Prevotella	METHOD_SENSITIVE	0.9329795717732935	primary_q=0.93298; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.875; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Sulfuritalea	METHOD_SENSITIVE	0.8602080069613143	primary_q=0.860208; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.857; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Escherichia	NO_SUPPORTED_ASSOCIATION	0.6078019010481611	primary_q=0.607802; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Moraxella	METHOD_SENSITIVE	0.9868258094926099	primary_q=0.986826; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.778; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Shinella	METHOD_SENSITIVE	0.8645806217811028	primary_q=0.864581; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Cutibacterium	ROBUST_ASSOCIATION	0.01591429418362109	primary_q=0.0159143; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Chryseobacterium	ROBUST_ASSOCIATION	0.024651808081090548	primary_q=0.0246518; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=False
Aminobacter	METHOD_SENSITIVE	0.9329795717732935	primary_q=0.93298; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Sphingopyxis	CONTAMINATION_SENSITIVE	0.009639447995281587	primary_q=0.00963945; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.875; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Thiomonas	METHOD_SENSITIVE	0.9868258094926099	primary_q=0.986826; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.778; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Flavobacterium	CONTAMINATION_SENSITIVE	0.004060361788598399	primary_q=0.00406036; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Verminephrobacter	METHOD_SENSITIVE	0.9703927239571131	primary_q=0.970393; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.714; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Citrobacter	SUGGESTIVE_ASSOCIATION	0.0675080967704031	primary_q=0.0675081; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=False; contamination_sensitive=False
Sphingobium	CONTAMINATION_SENSITIVE	6.979201616491209e-05	primary_q=6.9792e-05; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Methylorubrum	METHOD_SENSITIVE	0.03831868762783665	primary_q=0.0383187; primary_direction=positive; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Ralstonia	METHOD_SENSITIVE	0.9329795717732935	primary_q=0.93298; primary_direction=positive; bootstrap_ci_excludes_zero=False; spearman_same_direction=False; preprocessing_same_direction_fraction=0.714; sign_reversal=True; influence_sensitive=True; contamination_sensitive=False
Erythrobacter	CONTAMINATION_SENSITIVE	0.00012145267529518703	primary_q=0.000121453; primary_direction=negative; bootstrap_ci_excludes_zero=True; spearman_same_direction=True; preprocessing_same_direction_fraction=0.889; sign_reversal=True; influence_sensitive=False; contamination_sensitive=True
Xanthobacter	NO_SUPPORTED_ASSOCIATION	0.8886522906932904	primary_q=0.888652; primary_direction=negative; bootstrap_ci_excludes_zero=False; spearman_same_direction=True; preprocessing_same_direction_fraction=1; sign_reversal=False; influence_sensitive=True; contamination_sensitive=False
