patient_id	major_cell_class	n_cells	marker_mean_acinar	marker_mean_b_cell	marker_mean_endocrine	marker_mean_endothelial	marker_mean_fibroblast_caf	marker_mean_malignant_or_ductal	marker_mean_mast	marker_mean_myeloid	marker_mean_nk_cell	marker_mean_t_cell
T11	fibroblast_caf	2152	0.36059479553903345	0.019981412639405203	5.08317843866171	0.04352540272614622	34.14567843866171	0.3661046202867764	0.12685873605947953	0.35975836431226765	0.11617100371747212	0.11524163568773234
T11	malignant_epithelial	212	1.345518867924528	0.02358490566037736	9.56132075471698	0.08962264150943396	4.331761006289309	18.33490566037736	0.15251572327044025	1.2141509433962263	0.1391509433962264	0.16037735849056606
T11	myeloid	452	0.24668141592920356	0.016592920353982302	4.807522123893806	0.0420353982300885	2.0191740412979353	0.3002528445006321	0.07374631268436578	7.249557522123894	0.1758849557522124	0.26327433628318586
T11	nonmalignant_epithelial	147	27.477891156462583	0.027210884353741496	243.42857142857144	0.06349206349206349	4.00453514739229	4.316812439261419	0.17006802721088435	1.0476190476190477	0.1564625850340136	0.18537414965986393
T12	B_cell	590	0.6563559322033898	7.663983050847458	0.11440677966101695	0.18135593220338983	0.2731638418079096	0.08692493946731235	0.0062146892655367235	0.2830508474576271	0.16610169491525423	0.1271186440677966
T12	T_cell	410	0.5378048780487805	1.7000000000000002	0.09451219512195122	0.12520325203252033	0.20528455284552846	0.0735191637630662	0.12439024390243904	0.2331707317073171	1.0701219512195124	1.7128048780487806
T12	endothelial	261	1.6120689655172413	0.6293103448275863	0.16762452107279693	9.786717752234994	0.7407407407407408	0.1839080459770115	0.034482758620689655	0.5885057471264369	0.2509578544061303	0.18007662835249044
T12	fibroblast_caf	383	0.6018276762402088	0.3387728459530026	0.14360313315926893	0.17580504786771103	14.835944299390775	0.07086907870197687	0.006962576153176675	0.506005221932115	0.15861618798955615	0.20169712793733682
T12	malignant_epithelial	44	16.267045454545453	0.5625	0.32386363636363635	0.25757575757575757	0.5227272727272727	12.808441558441558	0.03787878787878788	3.8590909090909085	0.2102272727272727	0.18750000000000003
T12	myeloid	462	0.650974025974026	0.2943722943722944	0.10876623376623376	0.1341991341991342	0.24567099567099562	0.1116264687693259	0.005772005772005772	7.795238095238096	0.19642857142857145	0.2624458874458875
T12	nonmalignant_epithelial	120	116.34791666666666	0.5458333333333333	5.5125	0.28611111111111115	0.4972222222222222	5.045238095238095	0.019444444444444445	1.0866666666666664	0.27708333333333335	0.17291666666666664
T13	B_cell	11	2.409090909090909	5.386363636363637	0.6590909090909091	0.030303030303030304	0.2272727272727273	0.1948051948051948	0.030303030303030304	0.18181818181818182	0.045454545454545456	0.06818181818181818
T13	T_cell	34	2.169117647058824	0.34558823529411764	0.801470588235294	0.12745098039215685	0.5049019607843137	0.20588235294117646	1.1176470588235294	0.3705882352941176	3.316176470588235	2.2279411764705883
T13	endothelial	420	4.4678571428571425	0.19226190476190474	1.388095238095238	8.303174603174604	0.3515873015873015	0.3272108843537415	0.01904761904761905	0.3247619047619047	0.3464285714285714	0.09107142857142857
T13	fibroblast_caf	403	3.30893300248139	0.04590570719602978	1.0366004962779156	0.1794871794871795	17.052109181141436	0.2435306628855016	0.005789909015715467	0.2913151364764268	0.14702233250620347	0.15012406947890816
T13	malignant_epithelial	240	7.304166666666666	0.07395833333333333	2.947916666666667	0.4291666666666667	0.49583333333333335	13.260714285714286	0.029166666666666664	8.440833333333334	0.271875	0.134375
T13	myeloid	265	3.45	0.02830188679245283	1.2264150943396226	0.19999999999999998	0.28867924528301886	0.28840970350404316	0.005031446540880503	9.593962264150944	0.19622641509433963	0.3075471698113208
