genus	primary_retained	prevalence	mean_abundance	median_abundance	zero_fraction	contamination_risk_category	evidence_source	included_in_primary	included_in_sensitivity	notes
Sphingobium	True	1.0	1167.9176579067796	1056.8127630685149	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Methylorubrum	True	0.6129032258064516	61.01818939075909	23.62382055235925	0.3870967741935484	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Ralstonia	True	1.0	594.2959362760473	81.92999182976665	0.0	HIGH_RISK_POTENTIAL_CONTAMINANT	Phase 6B locked environmental/reagent flag list	True	not_in_contaminant_removal_sensitivity_or_filtered	Potential contaminant flag only; not confirmed contamination.
Erythrobacter	True	1.0	122.42010892310792	112.5423276920335	0.0	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Xanthobacter	True	0.5806451612903226	10.4443925203653	10.8729584990135	0.41935483870967744	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Paucibacter	True	0.25806451612903225	5.857021578763781	0.0	0.7419354838709677	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Streptomyces	True	0.43548387096774194	9.66207904864179	0.0	0.5645161290322581	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Collimonas	True	0.3709677419354839	5.7954782635573014	0.0	0.6290322580645161	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Bacillus	True	0.3387096774193548	94.57094205501217	0.0	0.6612903225806451	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Polaromonas	True	0.6935483870967742	11.726761260384375	12.5275636749385	0.3064516129032258	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Ochrobactrum	True	0.25806451612903225	119.97878239792311	0.0	0.7419354838709677	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Fusarium	True	0.27419354838709675	19.505823426524735	0.0	0.7258064516129032	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Serratia	True	0.6612903225806451	11.315536748236141	9.00496261734731	0.3387096774193548	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Candidatus Accumulibacter	True	0.6612903225806451	9.433498704524649	10.6270857579754	0.3387096774193548	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Methylibium	True	0.5967741935483871	13.991049663412022	14.48337673914485	0.4032258064516129	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Novosphingobium	True	1.0	135.51907851362358	124.350477057414	0.0	MODERATE_RISK_ENVIRONMENTAL	Phase 6B locked environmental/reagent flag list	True	MICRO_SENS_NO_HIGH_RISK	Environmental risk flag only; not confirmed contamination.
Pseudoxanthomonas	True	0.2903225806451613	19.685800913662924	0.0	0.7096774193548387	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Burkholderia	True	1.0	53.841384080792686	47.8136468892205	0.0	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
Rhizobacter	True	0.3387096774193548	6.007267119700071	0.0	0.6612903225806451	LOW_CURRENT_CONCERN	No Phase 6B contamination flag	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	No current contamination-specific flag.
Sphingomonas	True	1.0	1893.1506334042567	1585.6466330006851	0.0	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	Phase 6B locked contamination-sensitivity list	True	MICRO_SENS_NO_HIGH_RISK;MICRO_SENS_NO_CONTAMINANTS	Retained in primary; interpret with sensitivity analyses.
