gene	row_index_1based	missing_count	missing_proportion	nonmissing_count	mean_expression_skipna	median_expression_skipna	detected_sample_count_gt0_skipna	all_zero_among_observed	literal_NA	blank_field	parse_failure	missing_pattern
LINC01670	24723	0	0.0	62	0.9114982510513878	0.0	25	False	0	0	0	complete
LINC01671	24724	0	0.0	62	23.002227555196225	15.32472939741945	58	False	0	0	0	complete
LINC01673	24725	0	0.0	62	1.8932602212619718	0.390650985123749	31	False	0	0	0	complete
LINC01675	24726	0	0.0	62	2.406291414079661	1.045390539211825	46	False	0	0	0	complete
LINC01678	24727	0	0.0	62	50.10694293232141	53.1522864147547	62	False	0	0	0	complete
LINC01679	24728	0	0.0	62	47.738675849978165	37.7438300622018	62	False	0	0	0	complete
LINC01681	24729	0	0.0	62	2.2262198002935687	0.9616206004097825	43	False	0	0	0	complete
LINC01684	24730	0	0.0	62	50.87915826125699	33.99089127996245	62	False	0	0	0	complete
LINC01685	24731	0	0.0	62	4.978278606030568	0.0	30	False	0	0	0	complete
LINC01686	24732	0	0.0	62	8.950095101572257	6.40930459765149	57	False	0	0	0	complete
LINC01690	24733	0	0.0	62	0.8295308101485092	0.0	23	False	0	0	0	complete
LINC01691	24734	0	0.0	62	3.0410723094809415	1.73906731872305	50	False	0	0	0	complete
LINC01693	24735	0	0.0	62	2.090102077872107	0.0	22	False	0	0	0	complete
LINC01694	24736	0	0.0	62	17.896224510760753	9.90243686649357	61	False	0	0	0	complete
LINC01695	24737	0	0.0	62	35.63601257389218	21.60309784198245	61	False	0	0	0	complete
LINC01697	24738	0	0.0	62	64.99513432097291	50.23784797573895	62	False	0	0	0	complete
LINC01699	24739	0	0.0	62	2.9454894040967408	0.6795811147720995	32	False	0	0	0	complete
LINC01700	24740	0	0.0	62	2.3902372747713128	1.7468508371444451	44	False	0	0	0	complete
LINC01701	24741	0	0.0	62	2.221236354179267	0.0	25	False	0	0	0	complete
LINC01703	24742	0	0.0	62	14.889041473597477	11.38752539867685	62	False	0	0	0	complete
LINC01704	24743	0	0.0	62	3.2633055037450505	2.338351327989125	48	False	0	0	0	complete
LINC01705	24744	0	0.0	62	126.03714275496867	72.9231598966474	60	False	0	0	0	complete
