taxon	host_feature	host_feature_collection	coefficient	p_value	bh_q_value	supported_nominal	TRANSFORMATION_SENSITIVE_MECHANISM	composition_sensitive	sample_sensitive	evidence_category	criteria
Azoarcus	SIX5	DoRothEA_VIPER	-0.110508888515535	0.0127821590806342	0.0540783653411447	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.01278; primary_q=0.05408; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SMAD1	DoRothEA_VIPER	0.168954521361183	0.0125685112567973	0.0540783653411447	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.01257; primary_q=0.05408; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SMAD3	DoRothEA_VIPER	0.0366738137470606	0.622422401718633	0.743372881753873	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.6224; primary_q=0.7434; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SMAD4	DoRothEA_VIPER	0.120505261689877	0.0953664865247003	0.186894537432021	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.09537; primary_q=0.1869; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SNAI2	DoRothEA_VIPER	0.357430709540907	0.000726753867271358	0.0127901678273119	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.0007268; primary_q=0.01279; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SNAPC4	DoRothEA_VIPER	-0.168145715684826	0.00629509322743328	0.0337785490252518	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.006295; primary_q=0.03378; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SOX10	DoRothEA_VIPER	0.173475284265774	0.00947950325882555	0.0434477232696171	TRUE	TRUE	TRUE	FALSE	TRANSFORMATION_SENSITIVE_MECHANISM	primary_p=0.00948; primary_q=0.04345; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SOX11	DoRothEA_VIPER	0.111223744102039	0.165169435066782	0.273212599358586	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.1652; primary_q=0.2732; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SOX13	DoRothEA_VIPER	0.00468695857696978	0.949618732914143	0.971702889493542	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.9496; primary_q=0.9717; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SOX6	DoRothEA_VIPER	0.167195300011449	0.0198626497706182	0.0716357860579672	TRUE	TRUE	TRUE	FALSE	EXPLORATORY_HOST_MECHANISM	primary_p=0.01986; primary_q=0.07164; transformation_sensitive=TRUE; composition_sensitive=TRUE; sample_sensitive=FALSE
Azoarcus	SP1	DoRothEA_VIPER	-0.238483509477235	0.0730746911702517	0.160452376649854	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.07307; primary_q=0.1605; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SP2	DoRothEA_VIPER	-0.00953196076329903	0.697478987477204	0.807607248657816	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.6975; primary_q=0.8076; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SP3	DoRothEA_VIPER	0.0578365013800936	0.43071548350791	0.577789063242319	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.4307; primary_q=0.5778; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
Azoarcus	SP4	DoRothEA_VIPER	0.0349311531522042	0.0959958305900837	0.186894537432021	FALSE	FALSE	FALSE	FALSE	NO_SUPPORTED_MECHANISM	primary_p=0.096; primary_q=0.1869; transformation_sensitive=FALSE; composition_sensitive=FALSE; sample_sensitive=FALSE
