analysis_id	candidate_K	cluster_id	cluster_size	within_cluster_consensus	cluster_mean_silhouette	bootstrap_jaccard_stability	cluster_size_flag
STAB_CSY_IMPUTED	3	1	22	0.824501774410566	0.200713135917375	0.5359526369672	OK
STAB_CSY_IMPUTED	3	2	23	0.88682677451291	0.168631245832078	0.535230936236556	OK
STAB_CSY_IMPUTED	3	3	17	0.998764115129571	0.373888066028125	0.617427138925741	OK
STAB_CSY_IMPUTED	4	1	18	0.897355694343556	0.154359453585125	0.530589572675396	OK
STAB_CSY_IMPUTED	4	2	23	0.705339760857357	0.11263804522136	0.474273826843899	OK
STAB_CSY_IMPUTED	4	3	4	0.622570623772398	0.129365635218818	0.184426240298678	VERY_SMALL
STAB_CSY_IMPUTED	4	4	17	0.996184423460774	0.373864699228562	0.61946929824561	OK
STAB_CSY_IMPUTED	5	1	18	0.846053248145456	0.151363046686777	0.522015553960405	OK
STAB_CSY_IMPUTED	5	2	14	0.816537918901382	0.179725542011452	0.448287490571827	OK
STAB_CSY_IMPUTED	5	3	4	0.537261359103133	0.115447462122368	0.230367403928201	VERY_SMALL
STAB_CSY_IMPUTED	5	4	9	0.612196006974131	0.0905512115352211	0.327377468721323	OK
STAB_CSY_IMPUTED	5	5	17	0.984785759789155	0.34228821021274	0.615209683522528	OK
STAB_CSY_IMPUTED	6	1	18	0.801098732529814	0.115151922864025	0.506851474205937	OK
STAB_CSY_IMPUTED	6	2	14	0.785450406650694	0.162579385576414	0.455441885697835	OK
STAB_CSY_IMPUTED	6	3	3	0.913689644818169	0.200953919375886	0.266072319252814	VERY_SMALL
STAB_CSY_IMPUTED	6	4	9	0.539965951905738	0.0649311868641807	0.334827003238234	OK
STAB_CSY_IMPUTED	6	5	17	0.951162155331129	0.323821154513138	0.603317337461296	OK
STAB_CSY_IMPUTED	6	6	1	NA	0	0.405716707312295	VERY_SMALL
STAB_HVG_VAR_FILTER	2	1	42	0.911402237614348	0.12608207366446	0.561507247086761	OK
STAB_HVG_VAR_FILTER	2	2	20	0.964697766344981	0.355648008423177	0.552381377528472	OK
STAB_HVG_VAR_FILTER	3	1	28	0.852472855729877	0.047777871086423	0.53163900959584	OK
STAB_HVG_VAR_FILTER	3	2	20	0.950671061044544	0.290735246910919	0.575279391405695	OK
STAB_HVG_VAR_FILTER	3	3	14	0.86755401937916	0.226832069482534	0.540511382489364	OK
STAB_HVG_VAR_FILTER	4	1	25	0.723811905432548	0.0668971636630485	0.488830009225618	OK
STAB_HVG_VAR_FILTER	4	2	20	0.945990668018757	0.276133200843178	0.571085411255411	OK
STAB_HVG_VAR_FILTER	4	3	3	1	0.252168862716631	0.443722328793497	VERY_SMALL
STAB_HVG_VAR_FILTER	4	4	14	0.851904286158342	0.20919041511159	0.553613492464109	OK
STAB_HVG_VAR_FILTER	5	1	14	0.60117406134303	0.0737958235975702	0.389330538620344	OK
STAB_HVG_VAR_FILTER	5	2	11	0.598729032932107	0.0340691538621412	0.34729489819535	OK
STAB_HVG_VAR_FILTER	5	3	20	0.82627214803119	0.249346746710739	0.518932571124528	OK
STAB_HVG_VAR_FILTER	5	4	3	1	0.240579868351152	0.459888557276057	VERY_SMALL
STAB_HVG_VAR_FILTER	5	5	14	0.843123496458929	0.176762509420616	0.554290522875816	OK
STAB_HVG_VAR_FILTER	6	1	10	0.928272258657979	0.152657960724683	0.541396450698425	OK
STAB_HVG_VAR_FILTER	6	2	11	0.568258342772081	0.0124425273126433	0.396023867476692	OK
STAB_HVG_VAR_FILTER	6	3	20	0.669353562793087	0.21207961141184	0.460572687747036	OK
STAB_HVG_VAR_FILTER	6	4	3	1	0.227978203009433	0.471950829725829	VERY_SMALL
STAB_HVG_VAR_FILTER	6	5	14	0.834897853277626	0.143429916210267	0.550033998599439	OK
STAB_HVG_VAR_FILTER	6	6	4	0.88922282199006	0.14128872569817	0.454847632351308	VERY_SMALL
