sample_id	patient_id	cell_type	tumor_control_status	CTCFL	IRF3	JUNB	KLF13	KLF9	MNT	MXI1	SNAI2	TFAP4	TP63	ZBTB7A	ZNF24	BHLHE40	E2F6	ELF1	GRHL2	KLF1	MBD1	MBD2	OTX2	SIX5	SNAPC4	ZBED1	ZNF384	ZNF740	dataset_id
"T24|myeloid"	"T24"	"myeloid"	"PDAC_TUMOR"	2.79757339884482	5.5106748395403	6.53238118158022	-4.79175666480016	5.74160375058197	-5.87094691453355	-7.61703786964365	-4.60081419858677	2.48420108715587	-0.0278231315790887	-5.13431655178822	-1.26044874173103	-6.48905840082193	-4.47337264274765	7.03458897777218	3.79335360921028	5.78599396176506	-4.79891774289447	-0.836946855884295	1.74444873457815	2.60311356391538	3.02594750982538	4.70372308945645	6.86751520299397	4.49109832252412	"PENG_CRA001160"
"T24|nonmalignant_epithelial"	"T24"	"nonmalignant_epithelial"	"PDAC_TUMOR"	2.92952529111797	5.11713087108513	6.48672809637679	-4.50689131549483	6.56577559486276	-5.64571798506045	-8.52252503531797	-5.35461430237881	3.87701821940406	0.759408699165161	-6.11047613235553	-1.30307394347927	-6.07679623420041	-5.15626085130322	6.68171896360217	5.57174340567531	5.10977801585071	-4.83738693140754	-0.732941732728691	1.64962401341523	3.53114149521271	2.76038098750381	4.15134779943489	7.44345479187397	4.83441307180888	"PENG_CRA001160"
"T2|B_cell"	"T2"	"B_cell"	"PDAC_TUMOR"	1.73189703075334	6.14633097005178	5.53474066964283	-4.69051820502679	4.44459899755901	-4.91554873420454	-6.95125191165084	-3.8728460643431	1.92220443294433	0.0535381990589956	-3.73415236228868	-0.645905024126218	-5.97075006973917	-4.44878285016056	6.31061614182411	2.36044952760181	4.62613287578653	-5.30764363608072	-1.16910340266423	1.38915903727483	2.90518468269016	3.24042234023559	5.14648243702356	7.07263276706616	4.66077089926128	"PENG_CRA001160"
"T2|T_cell"	"T2"	"T_cell"	"PDAC_TUMOR"	2.56145134721099	6.4420375210525	5.8825892326662	-4.81118997070115	4.93538152560999	-5.12663531996325	-6.97646498273234	-4.21179281296041	1.94061761566842	0.069906960380273	-4.03590938797467	-0.687251394161983	-6.22882645907612	-4.73185673420436	6.54002382245739	2.31953609837527	4.77857413561071	-5.29123498899408	-0.802839545081431	1.45105371158996	2.82419361872702	3.58967832722291	5.09998309478145	6.68407885539528	4.6921828022066	"PENG_CRA001160"
"T2|endothelial"	"T2"	"endothelial"	"PDAC_TUMOR"	3.7627617731881	5.00533546903009	6.73443981286535	-4.92198407455773	7.87543344015303	-6.65616725588597	-8.23453295810474	-5.28053251509651	3.53403174196029	0.597580516973173	-6.25333859577989	-0.588781965027159	-6.94332028099719	-5.61109123288876	7.57022196958318	3.4860989894292	5.64893120990798	-5.01131072831311	-0.0261216813909353	2.33589077467967	2.85933350912889	3.42487666704231	4.9949742988005	7.5476015483451	5.03869335758147	"PENG_CRA001160"
"T2|fibroblast_caf"	"T2"	"fibroblast_caf"	"PDAC_TUMOR"	3.41526177162856	4.82206475069832	6.15362284193717	-5.30590293077393	6.18691523251121	-5.57637543547633	-8.01501343078721	-4.23468961099478	2.51818476632322	0.433240306837332	-5.65717480585688	-0.39239273902217	-5.66070140502687	-4.38029358938681	6.06955894692365	2.46243232569203	4.91870059147681	-4.54807456690825	-0.48666289983199	2.46348197421357	3.47800496401654	2.62555165309644	4.50075610069364	7.00402317101088	4.91800717761037	"PENG_CRA001160"
"T2|malignant_epithelial"	"T2"	"malignant_epithelial"	"PDAC_TUMOR"	2.33724000153725	4.83735813485049	6.84202903444211	-4.44792038761893	5.61535529415647	-5.61824261937747	-7.93155678971871	-5.50923851567185	3.41557253337685	0.552864525385507	-6.21497108538856	-1.01506735875013	-6.09231295856996	-5.54604380462856	6.43795637999045	6.58341582163317	5.07770231189224	-4.69181114912471	-0.324572710903988	0.913429209496825	3.280721596315	2.55057476852007	4.87837797625596	7.29000845453535	5.28595095292811	"PENG_CRA001160"
"T2|myeloid"	"T2"	"myeloid"	"PDAC_TUMOR"	2.14329081654654	6.10518143312588	5.87283296722589	-5.07538304369148	5.57653233467105	-5.66250081899964	-7.7640368676621	-4.56630458412963	2.33140393685724	-0.00689773723330931	-4.6151813556075	-0.893560453635582	-6.16557192683778	-5.11477035234193	7.11808171733444	3.20338263149621	5.15971540236772	-5.11180576726425	-0.580239075860328	1.5908144593066	2.75333112164566	3.17495142076963	4.93627975427023	7.05792692238574	4.67583594676222	"PENG_CRA001160"
"T2|nonmalignant_epithelial"	"T2"	"nonmalignant_epithelial"	"PDAC_TUMOR"	2.8065116673686	4.99610837178666	6.13020099842087	-4.36292145267527	6.11194972899599	-5.37435683086183	-8.03072587514894	-5.0207008653578	3.4808325574516	0.194996403738905	-5.77489455070553	-1.09782957469175	-5.74969851220104	-5.08556569229663	6.52493709447057	5.82610632873031	4.65784053419595	-4.85611545599079	-1.13363324757375	1.32703221658129	3.27238647129135	2.98483817071823	4.50649434664233	7.27158269638553	4.6476799847276	"PENG_CRA001160"
"T3|T_cell"	"T3"	"T_cell"	"PDAC_TUMOR"	3.01399410189372	6.2903541658307	5.89278885958459	-4.63756642907153	5.26552408064657	-5.59556946071334	-7.49753141349545	-5.08473567780542	2.32856556113897	0.354385027249112	-4.31205831827642	-0.825503723049086	-6.87085686479011	-5.20636602709647	6.94376342930359	3.46530396880441	5.11150179316078	-4.91675977022196	-0.294838651703556	1.71213343815271	2.91483153271234	3.32688715279372	5.1246821532142	6.38790081416793	4.9017977300322	"PENG_CRA001160"
