sample_id	patient_id	cell_type	tumor_control_status	BHLHE40	CTCFL	E2F6	ELF1	GRHL2	IRF3	JUNB	KLF1	KLF13	KLF9	MBD1	MBD2	MNT	MXI1	OTX2	SIX5	SNAI2	SNAPC4	TFAP4	TP63	ZBED1	ZBTB7A	ZNF24	ZNF384	ZNF740	dataset_id
N5|fibroblast_caf	N5	fibroblast_caf	CONTROL_PANCREAS	-5.24025403351395	4.57350702114598	-4.6327448608019	6.53221966062935	3.59565660115114	3.6598707769621	6.64472842730052	5.01946741647624	-4.79738394964713	7.09063903332031	-4.58550520604675	-0.483155823211252	-6.23485287321779	-7.76031871755573	2.09171275220268	4.05145120509132	-4.77126602740743	2.12467194435973	3.77905087906222	0.949466248276711	4.40808445702931	-6.48929059408055	-0.904455585465184	6.56412199601762	4.85863466772598	PENG_CRA001160
N5|nonmalignant_epithelial	N5	nonmalignant_epithelial	CONTROL_PANCREAS	-6.85052453902214	3.96943070865216	-6.29116704798241	7.59345855305898	6.41694813130963	4.59082626654026	7.00294685944903	4.82360425642548	-4.63516984876299	7.64275294455286	-5.88567018280313	-0.608540099085704	-6.90777278951438	-9.3583537468305	1.37224611480468	3.69539901064715	-6.08862177881767	3.9802367333157	4.15730708656403	0.35743552512276	4.48960545775427	-7.95633324442611	-1.1439234117177	8.59046039919977	6.03147896444525	PENG_CRA001160
N6|endothelial	N6	endothelial	CONTROL_PANCREAS	-6.59238449290442	3.73981241071317	-6.05711694149963	7.63410457262061	4.14266843930915	4.99655014066356	6.92068314250816	5.71465038547357	-5.12702792257358	8.09166568809709	-5.19045854878428	-0.0775159176917875	-6.40156836520325	-8.66436054170672	1.7831803933014	3.44336438948478	-5.10334857526005	3.44951974891286	3.52865450613522	0.371269061288517	4.75709568310003	-6.8893308575914	-0.948553874625382	8.07184145489777	5.5107679977964	PENG_CRA001160
N6|fibroblast_caf	N6	fibroblast_caf	CONTROL_PANCREAS	-4.9974800367102	4.61011148388601	-4.69276410651218	6.40044356232378	2.83726802126422	4.31601953609042	6.55300488017825	5.00922641222102	-5.00330068683691	6.99620215986462	-4.41872596431487	-0.194763942532627	-5.82083892065006	-8.43426560079204	2.49496434218457	4.1773579131946	-4.38950150307764	2.56431586941067	3.73307843748126	-0.0793641612742262	4.14862252472951	-6.14938942442793	-0.317876363479633	7.40812946063591	5.28898003723981	PENG_CRA001160
N6|nonmalignant_epithelial	N6	nonmalignant_epithelial	CONTROL_PANCREAS	-6.00967517230913	3.22631462907299	-5.58975006968042	7.08141988019816	6.22584175813934	4.32238005880392	6.78947006925518	4.77079723882709	-4.11103016695352	6.90892740308565	-5.31735162765197	-0.676096295342894	-5.68796128078855	-8.87187528218567	1.39586387702858	3.99335381064057	-5.50576771914842	3.24280108344716	3.65010511282764	0.65134811967581	4.537224951465	-6.59266207602669	-1.18654423331535	8.02297440714423	5.62582687067036	PENG_CRA001160
N7|endothelial	N7	endothelial	CONTROL_PANCREAS	-6.79836415155611	3.94859869335463	-5.70152191709457	7.627727861338	4.44022755863956	4.53688030514175	7.02266326571394	5.69800419314081	-5.18675768560132	8.15141536626821	-4.88343799715572	-0.0351365577843095	-6.31021991026058	-8.53238808760059	1.83243226214642	3.27119051342486	-5.43569565964618	3.03700449505822	3.70808994942751	0.40670504514752	4.70623733601801	-7.34751344318302	-1.1070303040052	7.95644092091967	5.23247673312289	PENG_CRA001160
N7|fibroblast_caf	N7	fibroblast_caf	CONTROL_PANCREAS	-4.60157853420666	3.93516277380256	-3.76936131546165	5.86364531960209	2.39005055304671	3.93033758737734	6.48721389994461	4.02428631308704	-4.72949047687137	5.97693117637902	-4.54111536978672	-0.508086990014316	-5.30652744150913	-8.04095238492013	2.35557678839003	3.09544378624053	-4.44884340483754	2.37867388575491	2.83854564048464	0.104584441493656	4.22641006830772	-5.1776103759401	-0.588879147360045	7.00570920891512	4.4802496732195	PENG_CRA001160
N7|nonmalignant_epithelial	N7	nonmalignant_epithelial	CONTROL_PANCREAS	-5.97005891997851	2.99019887853866	-5.25409859361613	6.47586338364643	5.25826068434307	4.38196040268934	6.35148155318473	4.66439264720032	-4.39050922551196	6.41983854780991	-4.99348250090005	-0.684253850286475	-5.66857965443716	-8.50998140724368	0.794164622580416	3.68772549715048	-5.26886389557147	2.99405149091754	3.64741129806076	0.0158917976901998	4.22674600826473	-6.47464235119273	-0.862355562429987	7.6338676317949	4.97769902909172	PENG_CRA001160
N8|endothelial	N8	endothelial	CONTROL_PANCREAS	-7.63991957849877	3.58709156601755	-5.302305197582	7.92439529498973	4.14195891778025	4.84338305502845	7.10386496739682	5.62058916460116	-4.90822018935355	7.46799071572887	-5.07906854213781	-0.216345733480031	-6.4043139860582	-8.35792773313375	2.03002131933949	3.06341600594102	-5.03967486150364	3.1000982423667	3.70796446585986	0.736716602411496	4.49886896385469	-6.2498944955605	-1.00477041097645	7.79631795102927	5.08877096724037	PENG_CRA001160
N8|fibroblast_caf	N8	fibroblast_caf	CONTROL_PANCREAS	-5.91520765068636	4.09345601063095	-4.53875590966652	6.77766958266652	2.85472288393206	4.49585012103772	7.21133690373689	5.00904373158144	-5.13353445717591	6.64488859307464	-4.19107100582377	-0.352490170176738	-5.85096821727611	-8.1413073433363	2.39538568428756	3.20838782301492	-4.48503237370982	2.30199947969173	2.58803459235488	0.210900936765088	4.35959644756548	-5.51478149365317	-0.491967996956769	7.1856099462065	4.78750653382442	PENG_CRA001160
N8|myeloid	N8	myeloid	CONTROL_PANCREAS	-6.84043262904171	2.21322368733723	-5.73719280145712	6.9286842992664	3.32689060851767	4.96053427429707	6.55912592372712	5.02787653590486	-4.88202505633983	6.1267546854738	-4.79791768343426	-0.583326539458305	-6.09059461395622	-8.09543353662449	1.29393501430981	2.78427645478839	-4.93521654764474	2.60871304585355	2.44789089159127	-0.103793872713704	4.8201332360776	-5.22672303236173	-0.738426840491557	7.04298316303949	4.88022735233359	PENG_CRA001160
N8|nonmalignant_epithelial	N8	nonmalignant_epithelial	CONTROL_PANCREAS	-6.360711814754	3.08762931316522	-5.11187370119641	6.60046189663994	5.48793700581127	4.29708923997269	6.53987093306131	4.54639755693272	-4.44963592540418	6.44855403290739	-5.12301646163212	-0.298749587120771	-5.91625018202035	-8.42753811468639	1.26812727053215	3.57229056439133	-5.26703546059926	2.94066185601992	3.61987354818819	0.443036388335758	4.20863364139049	-6.30010596704727	-0.948341976301787	7.59708031703248	5.10823944886743	PENG_CRA001160
N9|endothelial	N9	endothelial	CONTROL_PANCREAS	-6.92488095797669	3.79229834953353	-5.71051364626361	7.71120963475382	4.31245765726074	4.90060457230908	6.63085850570626	5.86611191575998	-4.86876466800118	7.76900712100562	-4.74795641948521	0.0269372925291229	-6.18317433998193	-8.49602961706233	2.09146635129094	3.36610382675243	-5.38702802456334	3.1321736806658	3.58527437080862	0.606452101124571	4.53565408488241	-6.27099338323764	-1.07995719704651	7.82139097542832	5.09751326971125	PENG_CRA001160
N9|fibroblast_caf	N9	fibroblast_caf	CONTROL_PANCREAS	-5.37554440491444	3.67429334630093	-4.55405383173164	6.46253968766777	3.18920025594189	4.4109340008706	6.39487552003171	4.95190750917909	-4.94165785472969	6.41316396561547	-3.84147732703097	-0.654197230090552	-5.31313186706602	-8.02518145363925	2.49605442835882	3.41139115496385	-4.69114227464056	2.34558689497778	2.97356272999142	0.149328280008978	4.08998624296564	-5.20050430550167	-0.255532612682317	7.07743185772071	4.73146256753351	PENG_CRA001160
N9|myeloid	N9	myeloid	CONTROL_PANCREAS	-6.37544299564201	2.42919934876046	-5.45171478266077	6.87972271881084	3.69243595657468	5.28117694970913	6.45357832698086	5.30863543895931	-4.86481192539181	5.67457147495101	-4.46683552836269	-0.550114860494876	-5.69819882328324	-7.93636273429186	1.26801433078216	2.80522656234353	-4.95678169552061	2.94029918672872	2.63923883478533	-0.0892908905089138	4.87880466515798	-5.17363685474887	-1.42172901011609	7.16661789431994	4.41396149313161	PENG_CRA001160
N9|nonmalignant_epithelial	N9	nonmalignant_epithelial	CONTROL_PANCREAS	-6.00662281237193	2.94084107320611	-5.43764912181227	6.64612176468545	5.74880994638769	4.47635489203372	6.23673124088724	4.77868892400776	-4.55912806404643	6.73580502108953	-4.90737050882167	-0.697818045869957	-5.66233950356384	-8.50588482250931	1.07442233567191	3.79084982737387	-5.41279856212136	3.01641111970661	3.60160324622765	0.261423204780828	4.31622979921237	-6.03319737765865	-1.16979570453535	7.50038860688471	4.97746960210402	PENG_CRA001160
T10|B_cell	T10	B_cell	PDAC_TUMOR	-5.96324835614055	2.32909779029366	-4.87694219558887	6.23029559520834	3.62541766156309	5.82874825052463	5.89312839326738	5.36125736009776	-4.44393170957107	5.24082185310576	-5.17541503979815	-1.05127624656041	-4.9393382560422	-7.5132463538347	1.73452105503574	3.000672474874	-4.62640812422828	3.28030953716305	2.48314755790502	0.0998668938292507	5.05606788430473	-4.86005376990068	-0.875163094875622	6.77776242930234	4.45836502497148	PENG_CRA001160
T10|T_cell	T10	T_cell	PDAC_TUMOR	-6.81148981759838	3.06060292809343	-5.13498636251773	7.15504762875853	3.23892338009271	6.30557840853584	6.00911772589177	5.6864028872422	-4.52303838902548	5.48865520800432	-4.8824491790172	-0.751451665154881	-5.85228192766555	-7.63285118063219	1.70051198883226	2.54205373148931	-5.29042450734783	3.16352601162731	1.98899405755884	1.026772248893	4.87756655606128	-5.27658107258482	-0.558883654739214	6.76571147505495	4.40451918475181	PENG_CRA001160
T10|endothelial	T10	endothelial	PDAC_TUMOR	-7.66654024366685	4.17152716475164	-5.70784046081293	7.83019115202779	4.88868053256479	5.04006729752126	7.31670793498937	6.07011222212458	-5.15100305240314	7.99093790151467	-5.16947951605698	0.257807579203769	-7.45812428010844	-8.64297625488324	2.75401882043026	3.14506747019844	-6.10599076351937	3.35873165078242	3.77667955688204	1.23048181266819	4.95913499491725	-6.82096570437417	-1.37409622000151	7.91271720011152	5.47888901634967	PENG_CRA001160
T10|fibroblast_caf	T10	fibroblast_caf	PDAC_TUMOR	-6.49157641619626	4.43453615137588	-5.13929908057814	6.84690452657793	3.83924077595943	4.85691363393777	6.64629233349192	5.8948629085677	-5.23393542146708	7.22780673180519	-4.59765909535487	0.405565495566308	-6.60243996715238	-8.7392781551804	2.53298455352492	3.52290922612568	-5.28637091321075	2.65899247537832	3.31515950870659	0.774607764045253	4.67736779106288	-6.73457286737062	-1.23180287148896	7.55246765840466	5.52701517948799	PENG_CRA001160
T10|malignant_epithelial	T10	malignant_epithelial	PDAC_TUMOR	-6.86837021297696	3.56966887773768	-5.83026116640443	6.83130502486485	6.56258410815119	5.44129387500023	6.54383454001472	5.53465213674738	-5.08156535058602	6.36724620008607	-4.90320530983509	-0.214751633187915	-6.33795259640103	-8.05395318940457	1.28463786304749	3.22233740274397	-6.61255215384825	2.50377830981675	3.77187794105814	1.12112996257375	4.73603504375692	-6.82256268690875	-1.24168101109795	6.93341085132329	5.18198623390539	PENG_CRA001160
T10|myeloid	T10	myeloid	PDAC_TUMOR	-7.06977605452437	3.02853892130854	-5.28959679023499	7.65944672925246	3.08678545946887	4.51828951459898	6.24047112645964	5.75797660778216	-4.83545306902858	6.15995036152471	-4.3459975350643	-0.439055215028266	-6.21186774046817	-8.14881583962978	1.53965064739248	1.87207911464596	-5.58865112103427	3.07831275415054	2.7572985532262	0.351073711906285	5.30740459451772	-5.28354560770476	-1.42851827338743	6.90485851187892	4.95291142970831	PENG_CRA001160
T11|T_cell	T11	T_cell	PDAC_TUMOR	-6.78257088324906	2.51669123459276	-5.11914047319239	6.2355574432958	2.48148685554517	5.75409235206054	6.43390924702193	5.5743331746403	-4.39049853176506	4.72042134120849	-4.45232738290013	-0.507321650549852	-5.07379250511506	-7.2354088707978	1.45229158713451	2.44486245809785	-4.32329937183478	2.96669004486259	1.9836322474722	0.191512115720052	5.07985039358726	-4.31244190047966	-0.647291113125282	6.3346864526768	4.36281634423543	PENG_CRA001160
T11|endothelial	T11	endothelial	PDAC_TUMOR	-7.50050667914733	4.34944085510334	-5.31975871250021	7.64538403755809	3.17293550812188	4.1012014252325	7.33324289683107	5.49386051549179	-4.32186603630755	7.64084158230624	-4.56567712887407	-0.771191111729493	-7.2713753406379	-8.25993497021806	2.98990380401349	2.42674188449856	-5.157184462511	3.20645988185672	3.69576391599503	0.497182447193398	4.1577606265411	-6.34553956586872	-0.625358499329205	7.74423090724515	5.23658622275976	PENG_CRA001160
