genus	max_cooks_distance	n_cooks_gt_4_over_n	max_abs_dfbeta_host_score	n_abs_dfbeta_gt_2_over_sqrt_n	max_leverage	max_abs_studentized_residual	leave_one_sample_out_coef_min	leave_one_sample_out_coef_max	leave_one_sample_out_direction_reversal	support_depends_on_one_or_two_patients	contamination_risk_category
Lactobacillus	0.1545963072260654	6	0.5026389450270088	6	0.09080065219490129	4.60574780965762	0.05340491117263586	0.21418057480501534	False	False	LOW_CURRENT_CONCERN
Acinetobacter	0.14306483176862114	3	0.4828995313395247	5	0.09080065219490129	2.174328407376488	-0.13256908889302715	-0.0753815951327838	False	False	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE
Janthinobacterium	0.10605922406935402	6	0.4123470282276101	8	0.09080065219490129	3.500818952856463	-0.1130584230963453	-0.023534784266779244	False	False	LOW_CURRENT_CONCERN
Paracoccus	0.16947703577011114	1	0.5280881177142679	3	0.09080065219490129	2.1541284937241585	0.2553979812934751	0.41004208984320867	False	True	LOW_CURRENT_CONCERN
Delftia	0.2219933206716631	3	0.3995319396780505	2	0.09080065219490129	5.523057858780859	-0.07450901163796571	0.03559895015966695	True	False	HIGH_RISK_POTENTIAL_CONTAMINANT
Sphingorhabdus	0.19173140534915967	3	0.5555880281987076	4	0.09080065219490129	2.9035888186147	0.21035041458687725	0.29865370732126745	False	False	LOW_CURRENT_CONCERN
Klebsiella	0.1758055121296518	5	0.4988398947897116	8	0.09080065219490129	2.968679725120354	-0.7814194616802174	-0.6437756421913022	False	False	LOW_CURRENT_CONCERN
Brachybacterium	0.13861462672125072	7	0.43314907325622676	6	0.09080065219490129	4.082447828720719	0.1276675529320634	0.22759788582816579	False	False	LOW_CURRENT_CONCERN
Herbaspirillum	0.23918904762272758	5	0.632450200359836	5	0.09080065219490129	3.1005348177262158	0.31224519821622176	0.449006120667271	False	False	MODERATE_RISK_ENVIRONMENTAL
Melaminivora	0.15329126933791504	4	0.500362459897119	4	0.09080065219490129	2.0410325396442337	-0.03708657757395418	0.08385680883742878	True	False	LOW_CURRENT_CONCERN
