patient_id	major_cell_class	n_cells	median_library_size	median_detected_genes	median_mitochondrial_fraction	dataset_id
T2	malignant_epithelial	166	11235.5	3238.5	0.05685911504460465	PENG_CRA001160
T2	myeloid	243	5099.0	1704.0	0.04133161788356385	PENG_CRA001160
T2	nonmalignant_epithelial	379	5399.0	2032.0	0.05703734099302421	PENG_CRA001160
T20	T_cell	7	6343.0	1787.0	0.03026958852278102	PENG_CRA001160
T20	endothelial	90	8492.5	2772.0	0.051786366283375504	PENG_CRA001160
T20	fibroblast_caf	29	7826.0	2385.0	0.04006968641114982	PENG_CRA001160
T20	malignant_epithelial	281	17114.0	3638.0	0.07001391004835397	PENG_CRA001160
T20	myeloid	24	7243.5	1945.5	0.04128865308224412	PENG_CRA001160
T20	nonmalignant_epithelial	51	12143.0	3550.0	0.06927898186689632	PENG_CRA001160
T21	B_cell	25	5251.0	1524.0	0.040216086434573826	PENG_CRA001160
T21	T_cell	65	5588.0	1731.0	0.03107188821474536	PENG_CRA001160
T21	endothelial	34	8816.0	3101.5	0.049206354783092376	PENG_CRA001160
T21	fibroblast_caf	70	11061.0	3091.5	0.039597886466391424	PENG_CRA001160
T21	malignant_epithelial	232	18945.0	4005.5	0.05557641631120365	PENG_CRA001160
T21	myeloid	307	7257.0	2094.0	0.046635576282478344	PENG_CRA001160
T21	nonmalignant_epithelial	74	10336.5	3264.0	0.06380076927629538	PENG_CRA001160
T22	B_cell	231	4646.0	1296.0	0.028614232209737828	PENG_CRA001160
T22	T_cell	571	4618.0	1414.0	0.02142663411988066	PENG_CRA001160
T22	endothelial	29	6919.0	2587.0	0.03517869656622284	PENG_CRA001160
T22	fibroblast_caf	107	6054.0	2235.0	0.03722996782595373	PENG_CRA001160
T22	malignant_epithelial	1032	8529.0	2664.5	0.05406730799402781	PENG_CRA001160
T22	myeloid	244	6337.0	1969.5	0.040368244272468955	PENG_CRA001160
T22	nonmalignant_epithelial	1	32012.0	5338.0	0.03920404848181932	PENG_CRA001160
T23	B_cell	95	3593.0	1088.0	0.028696194635059263	PENG_CRA001160
T23	T_cell	399	4162.0	1453.0	0.028800346470333478	PENG_CRA001160
T23	endothelial	180	7324.5	2681.5	0.03724978806921665	PENG_CRA001160
T23	fibroblast_caf	1550	6634.5	2255.5	0.03468484827049216	PENG_CRA001160
T23	malignant_epithelial	282	9822.5	3233.5	0.03297651801526988	PENG_CRA001160
T23	myeloid	318	5484.5	1849.0	0.04211323809550849	PENG_CRA001160
T23	nonmalignant_epithelial	41	8485.0	2765.0	0.05519480519480519	PENG_CRA001160
T24	B_cell	1	3810.0	1073.0	0.04041994750656168	PENG_CRA001160
T24	T_cell	77	4127.0	1498.0	0.0282021151586369	PENG_CRA001160
T24	endothelial	498	6720.5	2516.0	0.05162840623544214	PENG_CRA001160
T24	fibroblast_caf	610	5768.0	2091.5	0.04239053598449963	PENG_CRA001160
T24	malignant_epithelial	229	8846.0	3009.0	0.047225284821756704	PENG_CRA001160
T24	myeloid	83	5534.0	1825.0	0.04119985543910372	PENG_CRA001160
T24	nonmalignant_epithelial	319	7362.0	2499.0	0.07433102081268583	PENG_CRA001160
T3	B_cell	16	2378.5	885.5	0.05294700282026886	PENG_CRA001160
T3	T_cell	100	2731.5	1174.5	0.043958995373806764	PENG_CRA001160
T3	endothelial	176	5646.5	2201.0	0.049779243172983906	PENG_CRA001160
T3	fibroblast_caf	445	4902.0	1889.0	0.04852101712506487	PENG_CRA001160
T3	malignant_epithelial	381	4621.0	1902.0	0.034599473486273034	PENG_CRA001160
T3	myeloid	192	4072.5	1557.0	0.06988353764836279	PENG_CRA001160
T3	nonmalignant_epithelial	7	12651.0	3348.0	0.09015728879520025	PENG_CRA001160
T4	B_cell	73	3039.0	1038.0	0.042347079988928865	PENG_CRA001160
T4	T_cell	199	3242.0	1249.0	0.03239785390012381	PENG_CRA001160
T4	endothelial	52	5735.0	2337.0	0.047422508597278354	PENG_CRA001160
T4	fibroblast_caf	177	4986.0	1997.0	0.038779527559055116	PENG_CRA001160
T4	malignant_epithelial	414	9040.0	3048.0	0.06795084504813886	PENG_CRA001160
T4	myeloid	96	4401.5	1718.0	0.06284756045260757	PENG_CRA001160
T4	nonmalignant_epithelial	16	12648.5	3239.5	0.07205683599707324	PENG_CRA001160
T5	B_cell	1	2907.0	1003.0	0.029239766081871343	PENG_CRA001160
T5	T_cell	50	3414.5	1478.0	0.035511435028867465	PENG_CRA001160
T5	endothelial	295	4618.0	1908.0	0.041666666666666664	PENG_CRA001160
T5	fibroblast_caf	272	4386.5	1734.0	0.043167738742466516	PENG_CRA001160
T5	malignant_epithelial	97	16659.0	4393.0	0.03751696902381834	PENG_CRA001160
T5	myeloid	201	4924.0	1813.0	0.05321854822930933	PENG_CRA001160
T5	nonmalignant_epithelial	199	5306.0	2135.0	0.06809253601047577	PENG_CRA001160
T6	B_cell	6	3765.5	1226.5	0.03295134220782242	PENG_CRA001160
T6	T_cell	41	4817.0	1755.0	0.027127659574468086	PENG_CRA001160
T6	endothelial	402	7200.0	2628.5	0.03704546113314455	PENG_CRA001160
T6	fibroblast_caf	274	5542.5	2051.5	0.027265158114236566	PENG_CRA001160
T6	malignant_epithelial	290	11160.0	3526.5	0.03801952216189253	PENG_CRA001160
T6	myeloid	246	6082.5	2029.0	0.030766057661012765	PENG_CRA001160
T6	nonmalignant_epithelial	612	8284.5	2851.0	0.05391540936436264	PENG_CRA001160
T7	B_cell	2	4717.5	1240.5	0.041515273049269864	PENG_CRA001160
T7	T_cell	17	4233.0	1621.0	0.03284875594073246	PENG_CRA001160
T7	endothelial	116	7278.5	2818.0	0.061447298170636405	PENG_CRA001160
T7	fibroblast_caf	182	5625.5	2030.0	0.0496784036039825	PENG_CRA001160
T7	malignant_epithelial	137	14888.0	3583.0	0.06299984910215783	PENG_CRA001160
