TF	regulon_version	confidence_levels	targets_expected	targets_observed	target_coverage_fraction	retained	activity_score_direction
ONECUT1	1.22.0	A;B;C	55	55	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
OTX2	1.22.0	A;B;C	24	24	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
PAX5	1.22.0	A;B;C	55	55	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
PAX6	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
PAX8	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
PBX2	1.22.0	A;B;C	46	44	0.956521739130435	TRUE	VIPER_NES_positive_or_negative_TF_activity
PBX3	1.22.0	A;B;C	52	51	0.980769230769231	TRUE	VIPER_NES_positive_or_negative_TF_activity
PDX1	1.22.0	A;B;C	52	52	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
PGR	1.22.0	A;B;C	11	11	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
PKNOX1	1.22.0	A;B;C	36	34	0.944444444444444	TRUE	VIPER_NES_positive_or_negative_TF_activity
POU2F1	1.22.0	A;B;C	34	30	0.882352941176471	TRUE	VIPER_NES_positive_or_negative_TF_activity
POU2F2	1.22.0	A;B;C	10	9	0.9	FALSE	VIPER_NES_positive_or_negative_TF_activity
POU4F2	1.22.0	A;B;C	28	28	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
POU5F1	1.22.0	A;B;C	72	71	0.986111111111111	TRUE	VIPER_NES_positive_or_negative_TF_activity
PPARA	1.22.0	A;B;C	32	31	0.96875	TRUE	VIPER_NES_positive_or_negative_TF_activity
PPARG	1.22.0	A;B;C	41	41	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
PRDM1	1.22.0	A;B;C	42	42	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
PRDM14	1.22.0	A;B;C	196	194	0.989795918367347	TRUE	VIPER_NES_positive_or_negative_TF_activity
PROX1	1.22.0	A;B;C	26	25	0.961538461538461	TRUE	VIPER_NES_positive_or_negative_TF_activity
RARA	1.22.0	A;B;C	38	37	0.973684210526316	TRUE	VIPER_NES_positive_or_negative_TF_activity
RBPJ	1.22.0	A;B;C	61	60	0.983606557377049	TRUE	VIPER_NES_positive_or_negative_TF_activity
REL	1.22.0	A;B;C	20	20	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
RELA	1.22.0	A;B;C	144	144	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
RELB	1.22.0	A;B;C	13	13	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
REST	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
RFX1	1.22.0	A;B;C	40	39	0.975	TRUE	VIPER_NES_positive_or_negative_TF_activity
RFX2	1.22.0	A;B;C	21	21	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
RFX5	1.22.0	A;B;C	16	14	0.875	FALSE	VIPER_NES_positive_or_negative_TF_activity
RUNX1	1.22.0	A;B;C	21	20	0.952380952380952	TRUE	VIPER_NES_positive_or_negative_TF_activity
RUNX2	1.22.0	A;B;C	65	65	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
RUNX3	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
RXRA	1.22.0	A;B;C	12	12	1	FALSE	VIPER_NES_positive_or_negative_TF_activity
SIX2	1.22.0	A;B;C	39	39	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SIX5	1.22.0	A;B;C	25	25	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
SMAD1	1.22.0	A;B;C	17	17	1	TRUE	VIPER_NES_positive_or_negative_TF_activity
