taxon	prevalence_count	prevalence_fraction	total_abundance	mean_abundance
Curtobacterium	2	0.03225806451612903	16.18740199828006	0.2610871290045171
Geobacter	2	0.03225806451612903	12.019012671394329	0.1938550430870053
Rhodospirillum	2	0.03225806451612903	10.97098496438444	0.17695137039329742
Pseudogulbenkiania	2	0.03225806451612903	9.61957550664727	0.1551544436556011
Hartmannibacter	2	0.03225806451612903	7.49043714558881	0.12081350234820662
Azorhizobium	2	0.03225806451612903	5.56331476019169	0.08973088322889823
Alcaligenes	2	0.03225806451612903	5.340303170051451	0.08613392209760404
Immundisolibacter	2	0.03225806451612903	3.912384628129	0.06310297787304839
Acidiphilium	2	0.03225806451612903	3.912384628129	0.06310297787304839
Filifactor	1	0.016129032258064516	743.750084033141	11.995969097308725
Tannerella	1	0.016129032258064516	738.603024628067	11.912952010130114
Agrococcus	1	0.016129032258064516	447.316704762362	7.214785560683258
Atopobium	1	0.016129032258064516	402.757398447012	6.496087071726
Olsenella	1	0.016129032258064516	110.661777209083	1.7848673743400483
Slackia	1	0.016129032258064516	86.2132450349835	1.3905362102416694
Salmonella	1	0.016129032258064516	84.9339357033881	1.3699021887643241
Leptotrichia	1	0.016129032258064516	78.492655927373	1.266010579473758
Eikenella	1	0.016129032258064516	45.0367697943943	0.7263995128128113
Gammaretrovirus	1	0.016129032258064516	39.2088654988107	0.6324010564324307
Rhodanobacter	1	0.016129032258064516	34.7426509842471	0.5603653384555983
Plantibacter	1	0.016129032258064516	34.3143225372579	0.5534568151170629
Dinoroseobacter	1	0.016129032258064516	31.3157279388129	0.5050923861098855
Gardnerella	1	0.016129032258064516	29.215270847679	0.47121404593030647
Mobiluncus	1	0.016129032258064516	27.8508613664254	0.449207441393958
Thermoanaerobacter	1	0.016129032258064516	27.2743307967383	0.43990856123771455
Blastococcus	1	0.016129032258064516	27.0220618766366	0.4358397076876871
Streptobacillus	1	0.016129032258064516	23.1617673228314	0.37357689230373226
Solendovirus	1	0.016129032258064516	22.4889868987225	0.36272559514068553
Renibacterium	1	0.016129032258064516	21.5743111157216	0.3479727599309935
Orthotospovirus	1	0.016129032258064516	20.1217251199096	0.324543953546929
Anaerococcus	1	0.016129032258064516	18.0147079177577	0.2905598051251242
Paeniclostridium	1	0.016129032258064516	16.9867871406776	0.2739804377528645
Modestobacter	1	0.016129032258064516	15.6192230125501	0.2519229518153242
Granulibacter	1	0.016129032258064516	14.9739285225587	0.2415149761703016
Arsenicicoccus	1	0.016129032258064516	14.7749406875474	0.23830549496044193
Hymenobacter	1	0.016129032258064516	14.5183304092801	0.23416661950451775
Geobacillus	1	0.016129032258064516	14.0380579898988	0.22642029015965806
Dietzia	1	0.016129032258064516	12.6642348750407	0.20426185282323708
Tenacibaculum	1	0.016129032258064516	12.5226259252137	0.20197783750344678
Rothia	1	0.016129032258064516	12.1663169245789	0.19623091813836938
Legionella	1	0.016129032258064516	11.230446391919	0.18113623212772578
Brevirhabdus	1	0.016129032258064516	11.0316768875364	0.17793027237961936
Methanothrix	1	0.016129032258064516	10.7625111255891	0.17358888912240483
Propionibacterium	1	0.016129032258064516	10.71234637197	0.1727797801930645
