feature_name	feature_family	composition_covariate	eligible_patients	coefficient	confidence_interval_low	confidence_interval_high	p_value	model_diagnostics	q_value	dataset_id	localization_interpretation
GRHL2	partially replicated TF	fibroblast_caf_fraction	35	-0.295920298958198	-1.03667827872076	0.444837680804369	0.439218030114061	HC3_OLS; residual_sd=0.3901	0.815690627354685	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
KLF1	partially replicated TF	fibroblast_caf_fraction	35	1.09532969686752	0.359485192620656	1.83117420111438	0.00630506037471104	HC3_OLS; residual_sd=0.3793	0.0819657848712435	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MBD1	partially replicated TF	fibroblast_caf_fraction	35	-0.00445287376844741	-0.635227373770946	0.626321626234051	0.989043836493597	HC3_OLS; residual_sd=0.2756	0.989043836493597	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MBD2	partially replicated TF	fibroblast_caf_fraction	35	-0.0958991311390543	-0.6382942896488	0.446496027370692	0.731136012014526	HC3_OLS; residual_sd=0.1995	0.864069832380804	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
OTX2	partially replicated TF	fibroblast_caf_fraction	35	0.133692218098127	-0.145437765299788	0.412822201496042	0.354673444258315	HC3_OLS; residual_sd=0.1443	0.768459129226349	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
SIX5	partially replicated TF	fibroblast_caf_fraction	35	-0.290797319878337	-0.884914644255603	0.303320004498929	0.344362169943217	HC3_OLS; residual_sd=0.3381	0.768459129226349	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
SNAPC4	partially replicated TF	fibroblast_caf_fraction	35	0.107610341666203	-0.377512729427754	0.59273341276016	0.666560409833979	HC3_OLS; residual_sd=0.2296	0.864069832380804	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZBED1	partially replicated TF	fibroblast_caf_fraction	35	0.534456966318812	-0.11953180751179	1.18844574014941	0.118738466841912	HC3_OLS; residual_sd=0.2565	0.401140645029724	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZNF384	partially replicated TF	fibroblast_caf_fraction	35	-0.176767259145536	-0.708159414453645	0.354624896162574	0.518921562948449	HC3_OLS; residual_sd=0.2313	0.843247539791229	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
ZNF740	partially replicated TF	fibroblast_caf_fraction	35	0.119852687627817	-0.507968051751409	0.747673427007043	0.710671862879347	HC3_OLS; residual_sd=0.2438	0.864069832380804	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
HALLMARK_PROTEIN_SECRETION	Hallmark	malignant_epithelial_fraction	35	0.0186959797855909	0.00480799334543629	0.0325839662257455	0.0126072365310235	HC3_OLS; residual_sd=0.01181	0.0252144730620469	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
HALLMARK_SPERMATOGENESIS	Hallmark	malignant_epithelial_fraction	35	-0.0127054393375221	-0.0311707763767611	0.00575989770171693	0.186643251139894	HC3_OLS; residual_sd=0.01277	0.186643251139894	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MEblack	WGCNA-module	malignant_epithelial_fraction	35	0.0579828662159432	0.0312667721857402	0.0846989602461461	0.000162794674524298	HC3_OLS; residual_sd=0.01635	0.000203493343155372	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEblue	WGCNA-module	malignant_epithelial_fraction	35	0.11803063895775	0.0765527498772093	0.15950852803829	3.35379860577244e-06	HC3_OLS; residual_sd=0.02502	1.28714570835937e-05	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEgreen	WGCNA-module	malignant_epithelial_fraction	35	0.150848396181597	0.0964220478519308	0.205274744511262	5.14858283343748e-06	HC3_OLS; residual_sd=0.03115	1.28714570835937e-05	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
MEtan	WGCNA-module	malignant_epithelial_fraction	35	0.0213241408055592	-0.00560857050517094	0.0482568521162893	0.130238787174695	HC3_OLS; residual_sd=0.01948	0.130238787174695	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
MEgreenyellow	WGCNA-module	malignant_epithelial_fraction	35	-0.0872723589601071	-0.126598417573348	-0.0479463003468663	0.000123484506003101	HC3_OLS; residual_sd=0.03265	0.000203493343155372	PENG_CRA001160	PARTLY_EXPLAINED_BY_CELL_COMPOSITION
CTCFL	externally replicated TF	malignant_epithelial_fraction	35	-0.218910033165817	-0.757384743268997	0.319564676937363	0.431255326016834	HC3_OLS; residual_sd=0.3417	0.535021860286924	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
IRF3	externally replicated TF	malignant_epithelial_fraction	35	0.428578287924994	-0.128871451598958	0.986028027448945	0.141353746975424	HC3_OLS; residual_sd=0.4336	0.339248992741017	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
JUNB	externally replicated TF	malignant_epithelial_fraction	35	0.183978898605442	-0.206266245849804	0.574224043060688	0.362177862416957	HC3_OLS; residual_sd=0.2832	0.535021860286924	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
KLF13	externally replicated TF	malignant_epithelial_fraction	35	0.187757607476595	-0.155714721614084	0.531229936567275	0.291751922684805	HC3_OLS; residual_sd=0.2425	0.516442734694679	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
KLF9	externally replicated TF	malignant_epithelial_fraction	35	-0.187108202994991	-0.985053513569847	0.610837107579865	0.648820139380477	HC3_OLS; residual_sd=0.4745	0.648820139380477	PENG_CRA001160	NOT_COMPOSITION_EXPLAINED_AT_Q0.10
