genus	spearman_rho	p_value	bootstrap_ci_lower	bootstrap_ci_upper	bootstrap_iterations	direction	analysis_role	bh_q_value
Corynebacterium	0.14461987862305156	0.2620872580061404	-0.10296555415479562	0.3818543836631266	2000	positive	supporting	0.44409229828818236
Leptothrix	0.05094306363476115	0.694158283726009	-0.22882622753553758	0.31679389302522515	2000	positive	supporting	0.8065458153768866
Altererythrobacter	-0.164211427564151	0.20217971280441221	-0.4034899788310283	0.08630691314031345	2000	negative	supporting	0.36273419061968076
Roseolovirus	-0.5259751706076402	1.1318877565146523e-05	-0.6924526791673359	-0.2971108724853551	2000	negative	supporting	0.0002761806125895752
Janibacter	0.10483241419254112	0.41742865301388943	-0.20135636437537816	0.37861335707838106	2000	positive	supporting	0.5853597203183277
Lactobacillus	0.05290725491677369	0.6829797972757552	-0.22097901219925778	0.3125258758100262	2000	positive	supporting	0.8011878391119437
Acinetobacter	-0.2219284329279041	0.08299016727251912	-0.4412776630508549	0.03681058878322351	2000	negative	supporting	0.21093334181765278
Janthinobacterium	-0.0904283447911158	0.48456643429602086	-0.3515005313038184	0.18946846474348777	2000	negative	supporting	0.6425772280882016
Paracoccus	0.11127899070786433	0.3892058021337895	-0.15047670582321984	0.3496656545381357	2000	positive	supporting	0.5613657560768246
Delftia	-0.034524439072297346	0.7899367306457231	-0.2686968640698213	0.21713625708371967	2000	negative	supporting	0.8580287576289194
Sphingorhabdus	0.2625217194228299	0.03927086038633371	-0.007497007064883327	0.49478102221604653	2000	positive	supporting	0.12284730684955673
Klebsiella	-0.471128906348367	0.00011119149612224568	-0.6722812036307981	-0.2539016686667197	2000	negative	supporting	0.0012451326857368856
Brachybacterium	0.12261086348870591	0.3424275178531371	-0.15900640159306162	0.36498333655794446	2000	positive	supporting	0.5306652472049596
Herbaspirillum	0.33388733600261894	0.007999130702886163	0.10007422124456573	0.5375771713514483	2000	positive	supporting	0.03260634841890693
Melaminivora	-0.1793709551509657	0.16302549758241094	-0.4199534232292538	0.08481658235964135	2000	negative	supporting	0.3157001699214942
