Package	Version	LibPath	Priority
quadprog	1.5-8	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
qvalue	2.42.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
R.methodsS3	1.8.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
R.oo	1.27.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
R.utils	2.13.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
R6	2.6.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
ragg	1.5.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rappdirs	0.3.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rcmdcheck	1.4.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
RColorBrewer	1.1-3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
Rcpp	1.1.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
RCurl	1.98-1.18	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
readr	2.2.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
readxl	1.4.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rematch	2.0.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rematch2	2.1.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
remotes	2.5.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rentrez	1.2.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
renv	1.2.3	~/thesis/PDAC/07_envs/R_bootstrap_lib	NA
reprex	2.1.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
reshape	0.8.10	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
reshape2	1.4.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
restfulr	0.0.16	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rhdf5	2.54.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rhdf5filters	1.22.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
Rhdf5lib	1.32.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
Rhtslib	3.6.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rJava	1.0-11	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rjson	0.2.23	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rlang	1.2.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rmarkdown	2.31	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rmcfs	1.3.6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rngtools	1.5.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
roxygen2	7.3.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rpart	4.1.24	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	recommended
rprojroot	2.1.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
Rsamtools	2.26.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
RSQLite	2.4.6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rstudioapi	0.18.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rtracklayer	1.70.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rversions	3.0.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
rvest	1.0.5	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
S4Arrays	1.10.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
S4Vectors	0.48.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
S7	0.2.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
sass	0.4.10	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
scales	1.4.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
scatterpie	0.2.6	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
scrime	1.3.7	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
selectr	0.5-1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
Seqinfo	1.0.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
sessioninfo	1.2.3	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
shape	1.4.6.1	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
shiny	1.13.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
siggenes	1.84.0	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
SignatureHeatmap	0.0.4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
snow	0.4-4	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
som	0.3-5.2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
sourcetools	0.1.7-2	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
SparseArray	1.10.10	/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library	NA
